orderNumber,invoiceNumber,listAAmount,listBAmount,errorMessage
2696111,2696111,3900.00,3900.00,
2696112,2696112,520.00,520.00,
2696113,2696113,40038.00,40038.00,
2696114,2696114,3008.00,3008.00,
2696115,2696115,520.00,520.00,
2696116,2696116,1040.00,1040.00,
2696117,2696117,1560.00,1560.00,
2696118,2696118,315.00,315.00,
2696119,2696119,1230.00,1230.00,
2696120,2696120,1040.00,1040.00,
2696121,2696121,1570.00,1570.00,
2696122,2696122,3008.00,3008.00,
2696123,2696123,1150.00,3008.00,
2696124,2696124,520.00,520.00,
2696125,2696125,1175.00,1175.00,
2696126,2696126,1230.00,1230.00,
2696127,2696127,2350.00,2350.00,
